source_alias,relation,target_alias,source_name,target_name
csa37,POSITIVE,sa1601,RELA/NFKB1,VCAM1
csa37,POSITIVE,sa1602,RELA/NFKB1,PTGS2
csa37,POSITIVE,sa1603,RELA/NFKB1,IL1B
csa37,POSITIVE,sa1764,RELA/NFKB1,CCL4
csa35,POSITIVE,csa37,NFKB1/RELA,RELA/NFKB1
sa1176,POSITIVE,csa84,PG,TLR1/TLR2/CD14
sa1176,POSITIVE,csa82,PG,TLR2/TLR6/CD36
csa173,POSITIVE,sa122,TLR10L/TLR10,MYD88
csa81,POSITIVE,sa122,TLR5/flagellin,MYD88
sa629,POSITIVE,csa81,flagellin,TLR5/flagellin
csa184,POSITIVE,sa1345,TNF/TNFR1,TRADD
sa1168,POSITIVE,csa184,TNF,TNF/TNFR1
sa1168,POSITIVE,csa71,TNF,TNF/TNFR2
csa56,POSITIVE,sa225,IKBKE/TBK1,IRF7
csa56,POSITIVE,sa223,IKBKE/TBK1,IRF3
